fusion,CCLE_Omics,Breast,sources,source_count
AHSG--IGF2,1,0,CCLE_Omics,1
AIF1L--MT-CYB,1,0,CCLE_Omics,1
AIG1--HIVEP2,1,0,CCLE_Omics,1
AK2--MT-CO3,1,0,CCLE_Omics,1
AK2--MYL12A,1,0,CCLE_Omics,1
AK9--MICAL1,1,0,CCLE_Omics,1
AKAP12--GNAS,1,0,CCLE_Omics,1
AKAP12--ZBTB2,1,0,CCLE_Omics,1
AKAP9--ANKIB1,1,0,CCLE_Omics,1
AKNA--MT-CYB,1,0,CCLE_Omics,1
AKR1A1--PRDX1,1,0,CCLE_Omics,1
AKR1B10--CALD1,1,0,CCLE_Omics,1
AKR1B10--MT-CO3,1,0,CCLE_Omics,1
AKR1C1--PCNX4,1,0,CCLE_Omics,1
AKR1C2--FTL,1,0,CCLE_Omics,1
AKR1C2--MT-CO1,1,0,CCLE_Omics,1
AKR1C2--RPL3,1,0,CCLE_Omics,1
AKT3--CEP170,1,0,CCLE_Omics,1
ALB--EEF1A1,1,0,CCLE_Omics,1
ALB--MT-CO2,1,0,CCLE_Omics,1
ALDH3A1--MT-CO3,1,0,CCLE_Omics,1
ALDOA--EEF1A1,1,0,CCLE_Omics,1
ALG14--CNN3,1,0,CCLE_Omics,1
ALG2--MT-ATP6,1,0,CCLE_Omics,1
ALG2--MT-ATP8,1,0,CCLE_Omics,1
ALG6--ITGB3BP,1,0,CCLE_Omics,1
ALKBH3--EXT2,1,0,CCLE_Omics,1
ALPK3--MT-ND2,1,0,CCLE_Omics,1
ALYREF--BEST1,1,0,CCLE_Omics,1
AMBRA1--CELF1,1,0,CCLE_Omics,1
AMBRA1--MT-CO1,1,0,CCLE_Omics,1
AMBRA1--RASGRP3,1,0,CCLE_Omics,1
AMER1--ARHGEF9,1,0,CCLE_Omics,1
AMPD1--BCAS3,0,1,Breast,1
AMPD2--MT-ATP6,1,0,CCLE_Omics,1
AMZ2--MT-ND5,1,0,CCLE_Omics,1
ANAPC1--MTA3,1,0,CCLE_Omics,1
ANAPC13--AP3B1,1,0,CCLE_Omics,1
ANK2--PIP5K1A,1,0,CCLE_Omics,1
ANK3--CCDC6,1,0,CCLE_Omics,1
ANKHD1--CYSTM1,1,0,CCLE_Omics,1
ANKHD1-EIF4EBP3--CYSTM1,1,0,CCLE_Omics,1
ANKLE2--POLE,1,0,CCLE_Omics,1
ANKRD11--ENO1,1,0,CCLE_Omics,1
ANKRD11--MT-CO2,1,0,CCLE_Omics,1
ANKRD12--VAPA,1,0,CCLE_Omics,1
ANKRD20A11P--ZNF519,1,0,CCLE_Omics,1
ANO6--ARID2,1,0,CCLE_Omics,1
ANO7--PPP1R7,1,0,CCLE_Omics,1
ANP32A--EEF1A1,1,0,CCLE_Omics,1
ANP32A--MT-ND6,1,0,CCLE_Omics,1
ANP32A--PTMA,1,0,CCLE_Omics,1
ANP32B--NANS,1,0,CCLE_Omics,1
ANP32B--NASP,1,0,CCLE_Omics,1
ANP32B--NCL,1,0,CCLE_Omics,1
ANP32B--NSRP1,1,0,CCLE_Omics,1
ANP32B--PTMA,1,0,CCLE_Omics,1
ANP32B--PTMAP5,1,0,CCLE_Omics,1
ANP32B--RPS3A,1,0,CCLE_Omics,1
ANP32E--PTMA,1,0,CCLE_Omics,1
ANXA1--MT-ND5,1,0,CCLE_Omics,1
ANXA1--RPL14,1,0,CCLE_Omics,1
ANXA11--PLAC9,1,0,CCLE_Omics,1
ANXA2--B2M,1,0,CCLE_Omics,1
ANXA2--BSG,1,0,CCLE_Omics,1
ANXA2--CD44,1,0,CCLE_Omics,1
ANXA2--FN1,1,0,CCLE_Omics,1
ANXA2--GTF2A2,1,0,CCLE_Omics,1
ANXA2--ICE2,1,0,CCLE_Omics,1
ANXA2--LGALS1,1,0,CCLE_Omics,1
ANXA2--MT-ATP6,1,0,CCLE_Omics,1
ANXA2--MYL6,1,0,CCLE_Omics,1
ANXA2--MYO1E,1,0,CCLE_Omics,1
ANXA2--PKM,1,0,CCLE_Omics,1
ANXA2--RCC1,1,0,CCLE_Omics,1
ANXA2--RPL30,1,0,CCLE_Omics,1
ANXA2--RPL5,1,0,CCLE_Omics,1
ANXA2--RPSA,1,0,CCLE_Omics,1
ANXA2--TFRC,1,0,CCLE_Omics,1
ANXA2--TUBA1B,1,0,CCLE_Omics,1
ANXA2--VIM,1,0,CCLE_Omics,1
ANXA2--YWHAE,1,0,CCLE_Omics,1
ANXA5--EEF1A1,1,0,CCLE_Omics,1
ANXA5--MT-ATP8,1,0,CCLE_Omics,1
ANXA5--RPS17,1,0,CCLE_Omics,1
ANXA5--RPS18,1,0,CCLE_Omics,1
ANXA6--TNIP1,1,0,CCLE_Omics,1
AOPEP--CPSF6,1,0,CCLE_Omics,1
AOPEP--MIR302CHG,1,0,CCLE_Omics,1
AP2M1--RPS5,1,0,CCLE_Omics,1
